method,attack_type,attack_strength,prompt_id,z_score,remaining_tokens
unb_a3.0,synonym,0.3,5,1.1180337387499506,80
unb_a3.0,deletion,0.0,6,1.9126490011945907,79
unb_a3.0,deletion,0.1,6,1.8856176387197872,72
unb_a3.0,deletion,0.2,6,1.249999687500078,64
unb_a3.0,deletion,0.3,6,-0.6868026310642517,53
unb_a3.0,deletion,0.4,6,0.9486829980506085,40
unb_a3.0,deletion,0.5,6,0.9486829980506085,40
unb_a3.0,synonym,0.0,6,2.4596742252498913,80
unb_a3.0,synonym,0.1,6,2.236067477499901,80
unb_a3.0,synonym,0.2,6,2.9068877207498716,80
unb_a3.0,synonym,0.3,6,2.012460729749911,80
unb_a3.0,deletion,0.0,7,3.2627541785084193,79
