method,fpr,tpr,roc_threshold,auc
unb_a2.0,0.68,0.99,0.0,0.9040999999999999
unb_a2.0,0.82,0.99,-0.5423260268996071,0.9040999999999999
unb_a2.0,0.84,0.99,-0.6546535278508655,0.9040999999999999
unb_a2.0,0.85,1.0,-0.6708202432499704,0.9040999999999999
unb_a2.0,0.94,1.0,-1.4924046963075226,0.9040999999999999
unb_a2.0,0.96,1.0,-1.6499154338798137,0.9040999999999999
unb_a2.0,1.0,1.0,-2.529821328134956,0.9040999999999999
unb_a2.5,0.0,0.0,inf,0.9549
unb_a2.5,0.0,0.01,5.366561945999763,0.9549
unb_a2.5,0.0,0.02,4.919348450499783,0.9549
unb_a2.5,0.0,0.05,4.6957417027497925,0.9549
unb_a2.5,0.0,0.06,4.472134954999802,0.9549
unb_a2.5,0.0,0.08,4.248528207249812,0.9549
unb_a2.5,0.0,0.12,4.024921459499822,0.9549
unb_a2.5,0.0,0.21,3.801314711749832,0.9549
unb_a2.5,0.0,0.24,3.577707963999842,0.9549
unb_a2.5,0.0,0.34,3.354101216249852,0.9549
unb_a2.5,0.01,0.34,3.170374977656312,0.9549
unb_a2.5,0.01,0.46,2.906887720749872,0.9549
unb_a2.5,0.01,0.59,2.683280972999881,0.9549
unb_a2.5,0.01,0.65,2.4596742252498918,0.9549
unb_a2.5,0.03,0.65,2.27776931297835,0.9549
unb_a2.5,0.03,0.71,2.236067477499901,0.9549
unb_a2.5,0.04,0.71,2.193930516254028,0.9549
unb_a2.5,0.04,0.79,2.012460729749911,0.9549
unb_a2.5,0.07,0.79,1.8599617874687766,0.9549
unb_a2.5,0.07,0.85,1.788853981999921,0.9549
unb_a2.5,0.08,0.85,1.60816845742918,0.9549
unb_a2.5,0.08,0.88,1.5652472342499308,0.9549
unb_a2.5,0.11,0.88,1.362770002024268,0.9549
unb_a2.5,0.11,0.91,1.3416404864999407,0.9549
unb_a2.5,0.15,0.91,1.1313705298985666,0.9549
unb_a2.5,0.16,0.96,1.1180337387499506,0.9549
unb_a2.5,0.22,0.96,0.9299808937343883,0.9549
unb_a2.5,0.24,0.96,0.8962579300221338,0.9549
unb_a2.5,0.32,0.96,0.6868026310642517,0.9549
unb_a2.5,0.32,0.97,0.6708202432499704,0.9549
unb_a2.5,0.41,0.97,0.44721349549998024,0.9549
unb_a2.5,0.41,0.98,0.4472134954999802,0.9549
unb_a2.5,0.42,0.98,0.44172600673843204,0.9549
unb_a2.5,0.44,0.98,0.43133099979051787,0.9549
unb_a2.5,0.56,0.98,0.22360674774999012,0.9549
unb_a2.5,0.56,0.99,0.2236067477499901,0.9549
unb_a2.5,0.58,0.99,0.11704111979887671,0.9549
unb_a2.5,0.6,0.99,0.11547002717126463,0.9549
unb_a2.5,0.61,0.99,0.11250876477615239,0.9549
unb_a2.5,0.68,1.0,0.0,0.9549
unb_a2.5,0.82,1.0,-0.5423260268996071,0.9549
unb_a2.5,0.84,1.0,-0.6546535278508655,0.9549
unb_a2.5,0.94,1.0,-1.4924046963075226,0.9549
unb_a2.5,0.96,1.0,-1.6499154338798137,0.9549
unb_a2.5,1.0,1.0,-2.529821328134956,0.9549
unb_a3.0,0.0,0.0,inf,0.96995
unb_a3.0,0.0,0.01,5.366561945999763,0.96995
unb_a3.0,0.0,0.05,4.919348450499783,0.96995
unb_a3.0,0.0,0.08,4.472134954999802,0.96995
unb_a3.0,0.0,0.15,4.248528207249812,0.96995
unb_a3.0,0.0,0.2,4.024921459499822,0.96995
unb_a3.0,0.0,0.28,3.801314711749832,0.96995
unb_a3.0,0.0,0.34,3.577707963999842,0.96995
unb_a3.0,0.0,0.45,3.354101216249852,0.96995
unb_a3.0,0.01,0.45,3.170374977656312,0.96995
unb_a3.0,0.01,0.52,3.1304944684998617,0.96995
unb_a3.0,0.01,0.63,2.906887720749872,0.96995
unb_a3.0,0.01,0.67,2.683280972999881,0.96995
unb_a3.0,0.01,0.73,2.4596742252498918,0.96995
unb_a3.0,0.03,0.73,2.27776931297835,0.96995
unb_a3.0,0.03,0.79,2.236067477499901,0.96995
unb_a3.0,0.04,0.79,2.193930516254028,0.96995
unb_a3.0,0.04,0.85,2.012460729749911,0.96995
unb_a3.0,0.07,0.85,1.8599617874687766,0.96995
unb_a3.0,0.07,0.92,1.788853981999921,0.96995
unb_a3.0,0.08,0.92,1.60816845742918,0.96995
unb_a3.0,0.08,0.93,1.5652472342499308,0.96995
unb_a3.0,0.11,0.93,1.362770002024268,0.96995
unb_a3.0,0.11,0.95,1.3416404864999407,0.96995
